order_name,policy_name,sequence,active_daily_policy,baseline_mode,tool_change_count,R0_count,R1_count,R2_count,R3_count,relative_cost_score,due_penalty,objective_score,quality_violation_count,over_capacity_count,unmet_units,optimization_inventory_overuse_count,optimization_inventory_overuse_penalty,optimization_inventory_overuse_R0,optimization_inventory_overuse_R1,optimization_inventory_overuse_R2,optimization_inventory_overuse_R3,runtime_sec,optimization_objective,eval_base_cost_score,eval_dynamic_cost_score,eval_base_score,eval_dynamic_score,eval_common_due_penalty,eval_inventory_overuse_count,eval_inventory_overuse_penalty,eval_inventory_overuse_R0,eval_inventory_overuse_R1,eval_inventory_overuse_R2,eval_inventory_overuse_R3,eval_practical_score,objective_reduction_vs_original_pct,change_reduction_vs_original_pct,cost_reduction_vs_original_pct,objective_gap_to_best_pct,change_gap_to_best_pct,cost_gap_to_best_pct
original_order,balanced_dynamic,PN-A|Lot001 -> PN-B|Lot002 -> PN-C|Lot003 -> PN-D|Lot004 -> PN-E|Lot005 -> PN-F|Lot006,normal,priority_adjusted,15470,4320,1960,8210,980,38759.5,1000.0,55229.5,0,0,0,0,0.0,0,0,0,0,,55229.5,43042.0,38759.5,58512.0,54229.5,1000.0,0,0.0,0,0,0,0,55229.5,0.0,0.0,0.0,1.8110662238776065,0.2592352559948153,0.45211811310338346
due_priority_first,balanced_dynamic,PN-D|Lot004 -> PN-E|Lot005 -> PN-A|Lot001 -> PN-C|Lot003 -> PN-B|Lot002 -> PN-F|Lot006,normal,priority_adjusted,15525,4320,1850,8375,980,38652.25,100.0,54277.25,0,0,0,0,0.0,0,0,0,0,,54277.25,43009.0,38652.25,58534.0,54177.25,100.0,0,0.0,0,0,0,0,54277.25,1.7241691487339192,-0.3555268261150614,0.2767063558611437,0.05567123004844887,0.6156837329876863,0.17416071768728325
fixed_sequence_candidate,balanced_dynamic,PN-D|Lot004 -> PN-E|Lot005 -> PN-A|Lot001 -> PN-B|Lot002 -> PN-C|Lot003 -> PN-F|Lot006,normal,priority_adjusted,15500,4320,1900,8300,980,38701.0,100.0,54301.0,0,0,0,0,0.0,0,0,0,0,,54301.0,43024.0,38701.0,58524.0,54201.0,100.0,0,0.0,0,0,0,0,54301.0,1.6811667677599833,-0.19392372333548805,0.15093073956062383,0.09945241261966704,0.45366169799092676,0.3005049883309652
high_A_first,balanced_dynamic,PN-E|Lot005 -> PN-A|Lot001 -> PN-C|Lot003 -> PN-B|Lot002 -> PN-D|Lot004 -> PN-F|Lot006,normal,priority_adjusted,15465,4320,1970,8195,980,38769.25,800.0,55034.25,0,0,0,0,0.0,0,0,0,0,,55034.25,43045.0,38769.25,58510.0,54234.25,800.0,0,0.0,0,0,0,0,55034.25,0.3535248372699373,0.03232062055591467,-0.025155123260103975,1.451138817686855,0.22683084899546338,0.4773869672321199
high_C_first,balanced_dynamic,PN-A|Lot001 -> PN-B|Lot002 -> PN-E|Lot005 -> PN-F|Lot006 -> PN-C|Lot003 -> PN-D|Lot004,normal,priority_adjusted,15540,4320,1820,8420,980,38623.0,1200.0,55363.0,0,0,0,0,0.0,0,0,0,0,,55363.0,43000.0,38623.0,58540.0,54163.0,1200.0,0,0.0,0,0,0,0,55363.0,-0.2417186467377036,-0.4524886877828055,0.35217172564145566,2.0571625553831905,0.712896953985742,0.09835415530107408
high_C_last,balanced_dynamic,PN-C|Lot003 -> PN-D|Lot004 -> PN-F|Lot006 -> PN-E|Lot005 -> PN-B|Lot002 -> PN-A|Lot001,normal,priority_adjusted,15430,4320,2040,8090,980,38837.5,500.0,54767.5,0,0,0,0,0.0,0,0,0,0,,54767.5,43066.0,38837.5,58496.0,54267.5,500.0,0,0.0,0,0,0,0,54767.5,0.8365094741035136,0.25856496444731736,-0.2012409860808318,0.9594070092290679,0.0,0.6542689461332746
exhaustive_best,balanced_dynamic,PN-D|Lot004 -> PN-E|Lot005 -> PN-A|Lot001 -> PN-C|Lot003 -> PN-F|Lot006 -> PN-B|Lot002,normal,priority_adjusted,15562,4320,1779,8483,980,38585.05,100.0,54247.05,0,0,0,0,0.0,0,0,0,0,27.945338599965908,54247.05,42990.4,38585.05,58552.4,54147.05,100.0,0,0.0,0,0,0,0,54247.05,1.7788500710670876,-0.59469941822883,0.450083205407699,0.0,0.8554763447828904,0.0
sa_sequence_best,balanced_dynamic,PN-D|Lot004 -> PN-E|Lot005 -> PN-C|Lot003 -> PN-A|Lot001 -> PN-F|Lot006 -> PN-B|Lot002,normal,priority_adjusted,15562,4320,1779,8483,980,38585.05,100.0,54247.05,0,0,0,0,0.0,0,0,0,0,23.33088779996615,54247.05,42990.4,38585.05,58552.4,54147.05,100.0,0,0.0,0,0,0,0,54247.05,1.7788500710670876,-0.59469941822883,0.450083205407699,0.0,0.8554763447828904,0.0
original_order,balanced_no_preference,PN-A|Lot001 -> PN-B|Lot002 -> PN-C|Lot003 -> PN-D|Lot004 -> PN-E|Lot005 -> PN-F|Lot006,normal,pure_no_preference,12734,4320,7434,0,980,44686.0,0.0,57420.0,0,0,0,2934,0.0,0,2934,0,0,,57420.0,44686.0,44098.0,57420.0,56832.0,1000.0,2934,29340.0,0,2934,0,0,87172.0,0.0,0.0,0.0,0.0,0.0,0.0
high_A_first,balanced_no_preference,PN-E|Lot005 -> PN-A|Lot001 -> PN-C|Lot003 -> PN-B|Lot002 -> PN-D|Lot004 -> PN-F|Lot006,normal,pure_no_preference,12734,4320,7434,0,980,44686.0,0.0,57420.0,0,0,0,2934,0.0,0,2934,0,0,,57420.0,44686.0,44098.0,57420.0,56832.0,800.0,2934,29340.0,0,2934,0,0,86972.0,0.0,0.0,0.0,0.0,0.0,0.0
high_C_first,balanced_no_preference,PN-A|Lot001 -> PN-B|Lot002 -> PN-E|Lot005 -> PN-F|Lot006 -> PN-C|Lot003 -> PN-D|Lot004,normal,pure_no_preference,12734,4320,7434,0,980,44686.0,0.0,57420.0,0,0,0,2934,0.0,0,2934,0,0,,57420.0,44686.0,44098.0,57420.0,56832.0,1200.0,2934,29340.0,0,2934,0,0,87372.0,0.0,0.0,0.0,0.0,0.0,0.0
high_C_last,balanced_no_preference,PN-C|Lot003 -> PN-D|Lot004 -> PN-F|Lot006 -> PN-E|Lot005 -> PN-B|Lot002 -> PN-A|Lot001,normal,pure_no_preference,12734,4320,7434,0,980,44686.0,0.0,57420.0,0,0,0,2934,0.0,0,2934,0,0,,57420.0,44686.0,44098.0,57420.0,56832.0,500.0,2934,29340.0,0,2934,0,0,86672.0,0.0,0.0,0.0,0.0,0.0,0.0
exhaustive_best,balanced_no_preference,PN-A|Lot001 -> PN-B|Lot002 -> PN-C|Lot003 -> PN-D|Lot004 -> PN-E|Lot005 -> PN-F|Lot006,normal,pure_no_preference,12734,4320,7434,0,980,44686.0,0.0,57420.0,0,0,0,2934,0.0,0,2934,0,0,28.407528200070374,57420.0,44686.0,44098.0,57420.0,56832.0,1000.0,2934,29340.0,0,2934,0,0,87172.0,0.0,0.0,0.0,0.0,0.0,0.0
